id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
43431715,Condo in San Francisco · ★5.0 · 2 bedrooms · 3 beds · 1 bath,12372064,Julia L.,,Haight Ashbury,37.77496,-122.4414,Entire home/apt,199,4,11,2021-05-11,0.38,1,0,0,STR-0004881
43221081,Home in San Francisco · ★4.78 · 3 bedrooms · 5 beds · 2 baths,102405067,Ping,,Bayview,37.73678,-122.39551,Entire home/apt,132,30,59,2023-04-01,1.56,2,102,4,City registration pending
42336101,Hotel in San Francisco · 1 bedroom · 1 bed · 1 private bath,62992635,Kanchan,,Downtown/Civic Center,37.77775,-122.42281,Private room,200,2,0,,,1,0,0,License not needed per OSTR
42336333,Home in San Francisco · ★4.29 · 1 bedroom · 1 bed · 1 private bath,122429357,Irene,,Excelsior,37.72174,-122.43262,Private room,52,2,7,2023-05-01,0.20,4,175,5,
43432057,Hotel in San Francisco · ★4.86 · 1 bedroom · 1 bed · 1 private bath,163061723,White Swan Inn,,Downtown/Civic Center,37.789562,-122.411217,Private room,170,1,42,2023-05-18,1.14,4,287,20,Exempt
42336611,Home in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,122429357,Irene,,Excelsior,37.71995,-122.43422,Private room,67,2,5,2023-05-20,0.13,4,163,2,
42340184,Guest suite in San Francisco · 1 bedroom · 1 bed · 1 shared bath,204441,Gary,,South of Market,37.77942,-122.41257,Private room,160,30,0,,,3,365,0,
43223129,Rental unit in San Francisco · 1 bedroom · 1 bed · 1 private bath,320776642,Zarina,,South of Market,37.77561,-122.41555,Private room,70,365,0,,,1,363,0,
43432089,Hotel in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1 private bath,163061723,White Swan Inn,,Downtown/Civic Center,37.789562,-122.411217,Private room,210,1,4,2022-09-18,0.14,4,292,1,Exempt
43432094,Hotel in San Francisco · ★4.51 · 1 bedroom · 1 bed · 1 private bath,163061723,White Swan Inn,,Downtown/Civic Center,37.789562,-122.411217,Private room,190,1,35,2023-05-26,1.01,4,285,3,Exempt
42353772,Home in San Francisco · ★5.0 · 2 bedrooms · 2 beds · 2 baths,2475480,Arthur,,Outer Richmond,37.78477,-122.48158,Entire home/apt,225,30,5,2022-11-19,0.18,5,278,2,
43442357,Home in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,7433098,Aljosha,,Excelsior,37.71959,-122.42941,Private room,48,30,3,2020-12-23,0.08,2,79,0,
43232625,Rental unit in San Francisco · 1 bedroom · 1 bed · 1 bath,344265858,Landing,,South of Market,37.77364,-122.39242,Entire home/apt,206,30,0,,,1,0,0,
43452502,Rental unit in San Francisco · ★4.71 · 1 bedroom · 1 bed · 2.5 shared baths,2060012,Ari,,Western Addition,37.77391,-122.42957,Private room,74,30,7,2023-05-30,0.26,17,110,5,
43271982,Home in San Francisco · 1 bedroom · 3 shared baths,267895362,Rocky,,Noe Valley,37.75355,-122.43047,Private room,54,365,0,,,55,365,0,
42355619,Condo in San Francisco · 1 bedroom · 1 bed · 1 private bath,2238981,Lenza,,Mission,37.76645,-122.40784,Private room,121,30,2,2021-05-01,0.07,5,88,0,
43452641,Rental unit in San Francisco · ★4.67 · 1 bedroom · 1 bed · 2 shared baths,2060012,Ari,,Western Addition,37.77174,-122.43109,Private room,69,30,3,2023-04-30,0.09,17,97,2,
43278051,Condo in San Francisco · ★4.94 · 1 bedroom · 2 beds · 1 bath,5166113,Morgan,,South of Market,37.77839,-122.39643,Entire home/apt,250,30,16,2023-05-28,0.44,1,91,6,
43459680,Rental unit in San Francisco · ★5.0 · 2 bedrooms · 2 beds · 1 bath,826995,Kary,,Mission,37.76042,-122.41961,Entire home/apt,269,30,5,2022-10-14,0.15,1,321,2,
43280077,Home in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,79715071,Yusuke,,Outer Richmond,37.77858,-122.48545,Private room,29,30,7,2023-05-01,0.20,9,0,2,
43310054,Rental unit in San Francisco · Studio · 1 bed · 1 bath,303118342,Jesse,,Haight Ashbury,37.76756,-122.44468,Entire home/apt,95,30,1,2022-08-21,0.10,22,155,1,
42366245,Home in San Francisco · ★4.92 · 3 bedrooms · 4 beds · 2 baths,69261219,Yvonne Jia Yu,,Outer Mission,37.71522,-122.44366,Entire home/apt,247,1,49,2023-05-27,3.43,1,318,37,2021-012844STR
42403122,Rental unit in San Francisco · 2 bedrooms · 2 beds · 2 baths,107434423,Blueground,,South of Market,37.78589,-122.38965,Entire home/apt,231,31,0,,,138,257,0,
43471386,Rental unit in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1 bath,131200418,Lois,,Parkside,37.74289,-122.47397,Private room,56,30,6,2023-03-13,0.18,24,283,2,
42403169,Rental unit in San Francisco · 2 bedrooms · 2 beds · 2 baths,107434423,Blueground,,South of Market,37.78566,-122.38946,Entire home/apt,231,31,0,,,138,294,0,
42408462,Rental unit in San Francisco · ★4.55 · 1 bedroom · 1 bed · 1 bath,140872749,Antelope,,Russian Hill,37.79862,-122.41195,Entire home/apt,122,30,11,2023-05-01,0.28,3,283,2,
42414518,Guest suite in San Francisco · ★4.81 · 2 bedrooms · 2 beds · 2.5 baths,25120232,Sharon,,Lakeshore,37.73191,-122.47984,Entire home/apt,151,2,102,2023-05-17,2.82,2,96,20,STR-0004950
43310461,Boutique hotel in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1 private bath,163061723,White Swan Inn,,Downtown/Civic Center,37.789562,-122.411217,Private room,320,1,3,2020-10-21,0.09,4,249,0,Exempt
43312620,Rental unit in San Francisco · ★5.0 · 2 bedrooms · 2 beds · 2 baths,122074829,Ed,,Russian Hill,37.80036,-122.41225,Entire home/apt,1200,31,4,2022-08-31,0.23,2,311,1,
43475468,Home in San Francisco · 2 bedrooms · 2 beds · 1.5 baths,65136730,Ryan,,Mission,37.75721,-122.41245,Entire home/apt,300,30,0,,,1,0,0,
43335381,Home in San Francisco · ★4.67 · 1 bedroom · 2 beds · 1 private bath,1197730,Trent,,Bernal Heights,37.74039,-122.41268,Private room,195,2,63,2023-04-28,1.91,1,176,14,
43335731,Condo in San Francisco · ★4.88 · 3 bedrooms · 3 beds · 2 baths,27368404,Eddie,,Nob Hill,37.79531,-122.41265,Entire home/apt,397,30,8,2023-05-30,0.24,4,263,3,
42417490,Rental unit in San Francisco · ★4.92 · Studio · 1 bed · 1 bath,52178915,Jim,,Downtown/Civic Center,37.77756,-122.42065,Entire home/apt,125,3,25,2023-03-17,0.63,43,5,11,Exempt
